1.0000000000	0.0000000000
0.9999999013	0.0000000210
0.9999996052	0.0000000838
0.9999991117	0.0000001886
0.9999984209	0.0000003353
0.9999975326	0.0000005240
0.9999964469	0.0000007545
0.9999951639	0.0000010270
0.9999936835	0.0000013413
0.9999920056	0.0000016976
0.9999901304	0.0000020958
0.9999880578	0.0000025360
0.9999857878	0.0000030180
0.9999833205	0.0000035419
0.9999806557	0.0000041078
0.9999777936	0.0000047156
0.9999747340	0.0000053653
0.9999714771	0.0000060569
0.9999680228	0.0000067904
0.9999643712	0.0000075658
0.9999605221	0.0000083831
0.9999564757	0.0000092424
0.9999522319	0.0000101435
0.9999477907	0.0000110866
0.9999431522	0.0000120715
0.9999383162	0.0000130984
0.9999332830	0.0000141671
0.9999280523	0.0000152778
0.9999226243	0.0000164303
0.9999169989	0.0000176248
0.9999111762	0.0000188612
0.9999051561	0.0000201394
0.9998989387	0.0000214596
0.9998925239	0.0000228216
0.9998859117	0.0000242255
0.9998791022	0.0000256713
0.9998720954	0.0000271591
0.9998648912	0.0000286887
0.9998574897	0.0000302601
0.9998498908	0.0000318735
0.9998420946	0.0000335287
0.9998341011	0.0000352259
0.9998259103	0.0000369649
0.9998175221	0.0000387458
0.9998089366	0.0000405685
0.9998001538	0.0000424331
0.9997911737	0.0000443396
0.9997819963	0.0000462880
0.9997726216	0.0000482782
0.9997630495	0.0000503103
0.9997532802	0.0000523843
0.9997433136	0.0000545001
0.9997331496	0.0000566577
0.9997227884	0.0000588572
0.9997122299	0.0000610986
0.9997014742	0.0000633818
0.9996905211	0.0000657069
0.9996793708	0.0000680738
0.9996680233	0.0000704826
0.9996564784	0.0000729332
0.9996447363	0.0000754256
0.9996327970	0.0000779598
0.9996206604	0.0000805359
0.9996083265	0.0000831538
0.9995957955	0.0000858136
0.9995830672	0.0000885151
0.9995701416	0.0000912585
0.9995570189	0.0000940437
0.9995436989	0.0000968707
0.9995301817	0.0000997395
0.9995164673	0.0001026501
